time,aX,aY,aZ,gX,gY,gZ
21654, -0.48, 0.15, 0.90, 2.44, -3.42, 2.20
21758, -0.42, 0.17, 0.86, 5.00, -4.64, -0.06
21862, -0.41, 0.17, 0.87, 6.10, -5.92, 2.32
21966, -0.44, 0.18, 0.92, 4.27, -6.65, -0.55
22070, -0.39, 0.16, 0.92, 5.86, -11.11, -0.24
22174, -0.40, 0.19, 0.87, 3.66, -10.80, 6.53
22278, -0.43, 0.13, 0.83, 0.37, -6.59, 7.93
22382, -0.48, 0.13, 0.82, 1.22, 0.49, 2.81
22486, -0.47, 0.17, 0.84, 0.79, -0.12, -3.11
22590, -0.43, 0.19, 0.88, 0.73, -2.81, -0.61
22694, -0.40, 0.16, 0.89, 1.46, -3.60, 0.43
22798, -0.45, 0.19, 0.88, 5.13, -0.43, -0.31
22902, -0.43, 0.16, 0.85, 4.15, -1.65, -1.40
23006, -0.43, 0.16, 0.86, 5.37, -0.12, -2.62
23110, -0.43, 0.18, 0.90, 3.42, -0.37, -1.65
23214, -0.39, 0.20, 0.91, 2.38, -4.46, -3.78
23318, -0.42, 0.20, 0.85, 3.60, -6.71, 1.16
23422, -0.43, 0.17, 0.86, 2.32, -4.21, 0.24
23526, -0.42, 0.17, 0.86, 2.20, -3.30, 0.49
23630, -0.43, 0.17, 0.87, 0.73, -4.64, 0.55
23733, -0.44, 0.18, 0.86, 1.46, -3.23, 0.85
23838, -0.45, 0.20, 0.86, 5.00, -4.88, -2.75
23942, -0.45, 0.17, 0.86, 4.15, -4.52, -3.85
24046, -0.47, 0.16, 0.86, 6.90, 0.12, -4.76
24150, -0.46, 0.21, 0.87, 2.99, 0.00, -5.55
24253, -0.47, 0.15, 0.83, -0.12, 0.24, -1.40
24357, -0.47, 0.15, 0.83, 1.53, 5.86, -1.71
24461, -0.47, 0.17, 0.87, -1.04, 3.66, -6.04
24565, -0.46, 0.18, 0.87, 6.23, -3.54, -6.84
24669, -0.45, 0.19, 0.84, 5.00, -1.89, -2.99
24773, -0.48, 0.14, 0.87, 1.95, 1.28, -2.38
24877, -0.45, 0.17, 0.86, 3.97, -2.56, -4.82
24981, -0.45, 0.18, 0.86, 2.81, -5.37, -2.69
25085, -0.43, 0.16, 0.85, 1.83, -2.56, -2.01
25189, -0.45, 0.22, 0.88, 4.70, -3.05, -5.92
25293, -0.48, 0.19, 0.84, 0.85, -4.33, 1.89
25397, -0.48, 0.19, 0.84, 4.70, -3.91, -0.06
25501, -0.47, 0.17, 0.84, 3.54, -4.21, 0.37
25605, -0.50, 0.16, 0.85, 2.56, -3.91, 1.22
25709, -0.50, 0.19, 0.81, -0.31, -2.56, 5.19
25813, -0.50, 0.14, 0.85, 0.85, -2.01, -0.92
25917, -0.49, 0.14, 0.82, 0.24, -0.67, 2.32
26021, -0.48, 0.20, 0.84, 2.38, -3.23, -2.32
26125, -0.48, 0.17, 0.83, 3.85, -5.13, -2.01
26229, -0.50, 0.17, 0.84, 2.44, -4.03, -1.65
26333, -0.48, 0.17, 0.85, 3.23, -4.33, -1.95
26437, -0.48, 0.16, 0.85, 4.21, -5.62, -1.28
26541, -0.47, 0.18, 0.85, 2.38, -4.94, -0.92
26645, -0.47, 0.19, 0.86, 1.34, -5.25, 1.46
26749, -0.48, 0.16, 0.83, 1.46, -5.55, 2.01
26853, -0.44, 0.20, 0.85, 3.54, -6.04, 0.24
26957, -0.44, 0.18, 0.86, 3.11, -7.63, 1.04
27061, -0.44, 0.16, 0.88, 2.20, -7.75, 1.71
27165, -0.38, 0.19, 0.81, 5.49, -3.30, -2.62
27269, -0.45, 0.17, 0.87, 1.65, -11.17, 3.30
27373, -0.41, 0.22, 0.87, 3.78, -11.29, 0.24
27477, -0.40, 0.21, 0.83, 3.36, -10.62, 3.17
27581, -0.42, 0.19, 0.87, 3.97, -9.95, 2.50
27685, -0.42, 0.18, 0.89, 2.50, -6.47, -1.10
27789, -0.41, 0.18, 0.87, 0.37, -5.13, -0.06
27893, -0.41, 0.18, 0.87, 0.79, -5.68, 0.00
27997, -0.42, 0.19, 0.85, -0.73, -1.89, 0.79
28101, -0.41, 0.19, 0.89, 3.72, -1.53, -2.44
28205, -0.44, 0.20, 0.87, 2.44, -4.76, -0.12
28309, -0.40, 0.19, 0.90, 3.66, -3.91, -1.22
28413, -0.39, 0.18, 0.88, 2.38, -3.97, 1.34
28517, -0.42, 0.18, 0.88, 0.85, -3.30, 1.46
28621, -0.42, 0.18, 0.88, 1.22, -3.30, -0.67
28725, -0.41, 0.18, 0.87, 1.04, -2.81, -0.85
28829, -0.38, 0.20, 0.89, 1.53, -2.62, -0.18
28933, -0.39, 0.19, 0.90, 1.83, -4.46, 0.67
29037, -0.38, 0.17, 0.89, 1.59, -4.58, 2.26
29141, -0.39, 0.18, 0.88, 2.87, -4.64, 0.43
29244, -0.39, 0.17, 0.90, 2.81, -3.66, -0.31
29349, -0.39, 0.19, 0.89, 1.83, -3.78, 0.06
29452, -0.41, 0.19, 0.87, 2.08, -4.27, -0.92
29556, -0.40, 0.18, 0.87, 3.78, -2.81, -4.03
29660, -0.42, 0.16, 0.87, 1.83, -2.75, 0.79
29764, -0.42, 0.15, 0.86, 1.10, 0.12, -0.85
29868, -0.39, 0.17, 0.89, 1.22, -2.20, -4.33
29972, -0.41, 0.17, 0.89, 4.46, -0.43, -5.00
30076, -0.44, 0.18, 0.87, 3.05, -1.83, -3.91
30180, -0.45, 0.17, 0.85, 3.42, -0.12, -5.00
30285, -0.44, 0.17, 0.87, 3.54, 0.73, -1.95
30389, -0.43, 0.15, 0.88, 2.56, 2.01, -2.50
30492, -0.44, 0.17, 0.87, 2.75, 0.67, -1.95
30596, -0.41, 0.16, 0.86, 2.38, -0.31, -3.05
30701, -0.44, 0.16, 0.84, 3.54, -2.99, -4.39
30804, -0.47, 0.20, 0.87, 5.43, -3.05, -2.75
30909, -0.42, 0.18, 0.86, 5.13, -1.40, -3.23
31013, -0.42, 0.17, 0.87, 3.23, 0.85, -1.16
31116, -0.45, 0.18, 0.88, 2.62, -1.65, -2.32
31220, -0.42, 0.20, 0.85, 5.68, -2.26, -5.92
31324, -0.44, 0.18, 0.88, 6.35, -5.55, -2.26
31429, -0.48, 0.18, 0.85, 3.78, -3.36, -0.43
31533, -0.47, 0.19, 0.84, 2.38, -3.30, -1.04
31636, -0.48, 0.19, 0.84, 2.50, -2.69, 0.49
31740, -0.48, 0.19, 0.84, 2.01, -2.75, -0.18
31844, -0.48, 0.18, 0.84, 2.08, -3.11, -1.22
31948, -0.47, 0.17, 0.85, 1.83, -3.23, -1.71
32053, -0.48, 0.18, 0.84, 2.69, -2.93, -1.22
32156, -0.47, 0.16, 0.84, 2.20, -3.42, -2.20
32261, -0.48, 0.17, 0.84, 2.14, -4.33, -1.34
